nm,PVK2_5mM,PVK05mM,lactateD2_5mM,lactateD05mM,FeCl11mM,lactateD10mM,PVK10mM,PVK5.0mM,lactateD5mM,lactateD1mM,lactateD01mM,PVK1mM,PVK01mM
700.0557861,99.09914398,99.03523254,99.20435333,99.03027344,99.10862732,99.16627502,98.84135437,99.06895447,99.2624588,99.360466,99.24050903,98.78791809,99.06834412
699.0444946,99.03104401,98.94299316,99.23885345,99.05222321,99.07767487,99.12590027,98.79306793,99.04544067,99.23043823,99.26712036,99.35037231,98.89478302,99.12628174
698.0328369,99.07875824,99.07802582,99.22104645,98.96875,99.07242584,99.09031677,98.85917664,99.09674835,99.23004913,99.17848969,99.13908386,98.84763336,99.11170197
697.020874,98.98719025,99.09476471,99.21998596,99.01285553,99.12937927,99.06008911,98.82435608,99.01989746,99.30177307,99.23866272,99.18473816,98.76500702,99.11273193
696.0085449,98.99168396,99.00035858,99.30017853,98.96452332,99.16996765,99.02885437,98.70568848,99.02663422,99.19866943,99.17146301,99.13031769,98.80870056,99.09290314
694.9959717,99.00830078,98.95522308,99.22463226,98.96135712,99.09066772,99.02026367,98.72525024,98.89974976,99.10834503,99.21494293,99.10575867,98.75621033,98.90494537
693.9829712,99.12483978,98.96105194,99.2259903,99.04381561,99.08455658,98.98320007,98.85259247,98.97594452,99.24876404,99.32807922,99.24222565,98.85590363,99.07171631
692.9697266,99.08309174,99.00304413,99.23860931,99.01457214,99.16208649,99.18069458,98.80832672,98.96202087,99.35424042,99.29817963,99.26049805,98.74230957,99.02737427
691.9561157,99.01563263,99.03443146,99.17847443,98.96002197,99.09812164,99.12241364,98.83558655,99.02129364,99.29312134,99.4335022,99.30103302,98.9181366,99.16513824
690.9421387,98.90258789,99.00557709,99.17118835,98.93263245,99.11375427,99.17864227,98.80192566,98.95431519,99.23373413,99.16931152,99.17032623,98.79666138,98.98538208
689.9279175,99.03674316,98.95345306,99.12204742,98.98419952,99.06284332,98.96295166,98.74664307,98.80674744,99.24243927,99.25948334,99.17678833,98.85549927,99.03803253
689.0582886,99.02707672,98.94106293,99.20914459,99.07003021,99.07143402,99.10004425,98.66667175,98.99092865,99.22296143,99.15194702,99.29522705,98.76933289,99.05873871
688.043396,99.04932404,99.01795959,99.228302,99.07945251,99.15518951,99.07603455,98.70516968,98.88291168,99.25918579,99.30222321,99.30957794,98.90699005,99.17557526
687.0281982,99.05426025,98.98277283,99.15657043,98.96074677,99.24302673,99.05162048,98.73443604,98.95243835,99.27045441,99.32253265,99.20388031,98.77467346,99.06044769
686.0126953,98.9377594,99.0428009,99.2629776,99.02067566,99.08214569,99.17328644,98.66203308,98.91345215,99.3406601,99.2758255,99.14894104,98.77230072,99.10501099
684.9968872,98.93331146,98.95280457,99.13072968,99.06243134,99.20591736,99.12403107,98.71142578,98.85949707,99.16696167,99.30437469,99.24213409,98.85414124,99.03265381
683.9807129,99.07211304,99.0565033,99.2075119,99.07853699,99.14936066,99.12799072,98.72541809,98.98530579,99.26314545,99.23846436,99.25622559,98.88709259,99.06190491
682.9642334,98.96271515,99.00688171,99.21144867,99.0242691,99.01121521,99.04627228,98.66697693,98.83408356,99.18895721,99.27918243,99.17510986,98.8313446,98.97683716
681.9473877,98.98641968,98.98028564,99.21846008,98.98154449,99.16664886,99.04827881,98.64645386,98.89438629,99.23726654,99.33979797,99.28475952,98.79800415,99.09570313
680.9302979,99.01857758,99.00999451,99.25082397,99.07995605,99.16568756,99.15140533,98.66525269,98.89388275,99.29071808,99.2657547,99.17835236,98.78871155,99.0473175
680.0582275,98.896492,98.99799347,99.07129669,98.94317627,99.05050659,99.15139008,98.56972504,98.78002167,99.17503357,99.3578949,99.32349396,98.92568207,99.17594147
679.0404663,98.98468781,99.09309387,99.29826355,99.01266479,99.14910126,99.11175537,98.71323395,98.86717224,99.28266144,99.27462006,99.18036652,98.86930084,99.19643402
678.0223999,98.92140961,98.97795105,99.21068573,99.09785461,99.13248444,99.09429169,98.65288544,98.83743286,99.28553009,99.30980682,99.0877533,98.76816559,99.082901
677.0040894,99.09415436,99.11287689,99.24276733,99.14585876,99.31523132,99.12986755,98.6374588,98.75836945,99.28364563,99.23409271,99.14794159,98.81564331,99.03977203
675.9853516,98.93711853,99.07441711,99.20770264,99.11476135,99.16549683,99.12110138,98.57771301,98.8737793,99.22645569,99.33757782,99.2658844,98.81572723,99.09401703
674.9663696,98.89418793,99.09059143,99.16566467,99.01406097,99.14993286,99.1326828,98.51721954,98.62162781,99.20635223,99.31542206,99.17401123,98.71618652,98.98841095
673.9470825,98.92663574,99.00802612,99.20522308,98.96376038,99.1648407,99.11240387,98.47320557,98.72476959,99.28196716,99.37699127,99.29000092,98.87255096,99.08390045
672.9274292,98.92539215,99.01894379,99.12701416,99.06515503,99.13179016,98.99868774,98.53700256,98.69855499,99.17469025,99.24446106,99.24843597,98.74521637,98.94252777
672.0531616,98.93235779,98.98031616,99.20841217,99.00623322,99.1576767,99.10103607,98.49465179,98.62352753,99.25787354,99.32304382,99.32392883,98.8367157,99.05767822
671.032959,99.01441956,99.00655365,99.22093964,99.12294006,99.17900848,99.11947632,98.49536133,98.80151367,99.30601501,99.36120605,99.34909058,98.82991028,99.02923584
